Name;Description;Date;Priority;Effort;TeamMembers;Comments
Task 125;Something TODO;14.03.2025;4;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 126;DOD: Hallo Welt;04.02.2025;10;XS;Member 1;Very important
Task 127;Long Text;30.03.2025;10;M;Member 2;
Task 128;New Issue;10.02.2025;5;XL;Member 5;Very easy
Task 129;UserStory;25.03.2025;9;XL;Member 1, Member 2;Comment 1
Task 130;;04.05.2025;9;L;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 131;Something TODO;21.03.2025;10;XS;Member 1, Member 4;Comment1, Comment 3
Task 132;DOD: Hallo Welt;28.04.2025;10;S;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 133;Long Text;12.04.2025;6;M;Member 1, Member 2;Very important
Task 134;New Issue;10.05.2025;4;L;Member 1;
Task 135;UserStory;01.04.2025;10;XL;Member 2;Very easy
Task 136;Something TODO;04.02.2025;3;XS;Member 5;Comment 1
Task 137;DOD: Hallo Welt;04.02.2025;3;S;Member 1, Member 2;Comment 1, Comment 2
Task 138;Long Text;04.02.2025;7;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 139;New Issue;17.04.2025;9;L;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 140;UserStory;29.04.2025;6;XS;Member 3, Member 2;Very important
Task 141;Something TODO;22.03.2025;10;XS;Member 1, Member 2;
Task 142;DOD: Hallo Welt;22.02.2025;5;M;Member 1;Very easy
Task 143;Long Text;10.03.2025;8;XL;Member 2;Comment 1
Task 144;New Issue;14.02.2025;10;XL;Member 5;Comment 1, Comment 2
Task 145;UserStory;28.02.2025;9;L;Member 1, Member 2;Comment1, Comment 3
Task 146;Something TODO;09.03.2025;2;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 147;DOD: Hallo Welt;02.03.2025;8;S;Member 1, Member 4;Very important
Task 148;Long Text;30.04.2025;4;M;Member 3, Member 2;
Task 149;New Issue;04.03.2025;4;L;Member 1, Member 2;Very easy
Task 150;UserStory;10.05.2025;7;XL;Member 1;Comment 1
Task 151;Something TODO;04.04.2025;7;XS;Member 2;Comment 1, Comment 2
Task 152;DOD: Hallo Welt;10.03.2025;5;S;Member 5;Comment1, Comment 3
Task 153;Long Text;22.04.2025;3;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 154;New Issue;28.02.2025;9;L;Member 1, Member 2, Member 3;Very important
Task 155;UserStory;06.05.2025;5;XS;Member 1, Member 4;
Task 156;;05.03.2025;10;XS;Member 3, Member 2;Very easy
Task 157;Something TODO;05.05.2025;4;M;Member 1, Member 2;Comment 1
Task 158;DOD: Hallo Welt;02.05.2025;8;XL;Member 1;Comment 1, Comment 2
Task 159;Long Text;25.04.2025;6;XL;Member 2;Comment1, Comment 3
Task 160;New Issue;11.03.2025;9;L;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 161;UserStory;27.04.2025;2;XS;Member 1, Member 2;Very important
Task 162;Something TODO;26.02.2025;7;S;Member 1, Member 2, Member 3;
Task 163;DOD: Hallo Welt;24.03.2025;3;M;Member 1, Member 4;Very easy
Task 164;Long Text;10.04.2025;7;L;Member 3, Member 2;Comment 1
Task 165;New Issue;28.03.2025;10;XL;Member 1, Member 2;Comment 1, Comment 2
Task 166;UserStory;06.03.2025;5;XS;Member 1;Comment1, Comment 3
Task 167;Something TODO;24.04.2025;3;S;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 168;DOD: Hallo Welt;11.04.2025;10;L;Member 5;Very important
Task 169;Long Text;21.03.2025;10;L;Member 1, Member 2;
Task 170;New Issue;17.04.2025;11;XS;Member 1, Member 2, Member 3;Very easy
Task 171;UserStory;28.02.2025;2;XS;Member 1, Member 4;Comment 1
Task 172;Something TODO;12.03.2025;6;M;Member 3, Member 2;Comment 1, Comment 2
Task 173;DOD: Hallo Welt;06.03.2025;6;XL;Member 1, Member 2;Comment1, Comment 3
Task 174;Long Text;07.02.2025;10;XL;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 175;New Issue;07.02.2025;10;L;Member 2;Very important
Task 176;UserStory;05.03.2025;10;XS;Member 5;
Task 177;Something TODO;14.02.2025;6;S;Member 1, Member 2;Very easy
Task 178;DOD: Hallo Welt;06.05.2025;10;M;Member 1, Member 2, Member 3;Comment 1
Task 179;Long Text;02.05.2025;9;L;Member 1, Member 4;Comment 1, Comment 2
Task 180;New Issue;14.04.2025;4;XL;Member 3, Member 2;Comment1, Comment 3
Task 181;UserStory;03.04.2025;8;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 182;;18.02.2025;9;S;Member 1;Very important
Task 183;Something TODO;04.04.2025;5;L;Member 2;
Task 184;DOD: Hallo Welt;08.05.2025;4;L;Member 5;Very easy
Task 185;Long Text;19.03.2025;7;XS;Member 1, Member 2;Comment 1
Task 186;New Issue;01.05.2025;6;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 187;UserStory;07.03.2025;5;M;Member 1, Member 4;Comment1, Comment 3
Task 188;Something TODO;15.04.2025;3;XL;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 189;DOD: Hallo Welt;16.04.2025;9;XL;Member 1, Member 2;Very important
Task 190;Long Text;13.03.2025;9;L;Member 1;
Task 191;New Issue;25.02.2025;10;XS;Member 2;Very easy
Task 192;UserStory;22.02.2025;8;S;Member 5;Comment 1
Task 193;Something TODO;27.03.2025;2;M;Member 1, Member 2;Comment 1, Comment 2
Task 194;DOD: Hallo Welt;17.03.2025;5;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 195;Long Text;06.05.2025;7;XL;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 196;New Issue;11.04.2025;7;XS;Member 3, Member 2;Very important
Task 197;UserStory;23.02.2025;10;S;Member 1, Member 2;
Task 198;Something TODO;02.03.2025;6;L;Member 1;Very easy
Task 199;DOD: Hallo Welt;12.04.2025;7;L;Member 2;Comment 1
Task 200;Long Text;07.04.2025;2;XS;Member 5;Comment 1, Comment 2
Task 201;New Issue;15.02.2025;10;XS;Member 1, Member 2;Comment1, Comment 3
Task 202;UserStory;10.05.2025;2;M;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 203;Something TODO;17.03.2025;6;XL;Member 1, Member 4;Very important
Task 204;DOD: Hallo Welt;01.04.2025;11;XL;Member 3, Member 2;
Task 205;Long Text;28.04.2025;6;L;Member 1, Member 2;Very easy
Task 206;New Issue;16.03.2025;7;XS;Member 1;Comment 1
Task 207;UserStory;01.03.2025;7;S;Member 2;Comment 1, Comment 2
Task 208;;08.03.2025;3;M;Member 5;Comment1, Comment 3
Task 209;Something TODO;19.03.2025;4;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 210;DOD: Hallo Welt;01.02.2025;7;XL;Member 1, Member 2, Member 3;Very important
Task 211;Long Text;10.02.2025;7;XS;Member 1, Member 4;
Task 212;New Issue;08.03.2025;9;S;Member 3, Member 2;Very easy
Task 213;UserStory;19.02.2025;4;L;Member 1, Member 2;Comment 1
Task 214;Something TODO;15.02.2025;4;L;Member 1;Comment 1, Comment 2
Task 215;DOD: Hallo Welt;14.04.2025;7;XS;Member 2;Comment1, Comment 3
Task 216;Long Text;11.03.2025;5;XS;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 217;New Issue;03.04.2025;10;M;Member 1, Member 2;Very important
Task 218;UserStory;08.03.2025;3;XL;Member 1, Member 2, Member 3;
Task 219;Something TODO;04.03.2025;4;XL;Member 1, Member 4;Very easy
Task 220;DOD: Hallo Welt;08.05.2025;8;L;Member 3, Member 2;Comment 1
Task 221;Long Text;09.04.2025;7;XS;Member 1, Member 2;Comment 1, Comment 2
Task 222;New Issue;23.03.2025;8;S;Member 1;Comment1, Comment 3
Task 223;UserStory;15.03.2025;7;M;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 224;Something TODO;27.03.2025;9;L;Member 5;Very important
Task 225;DOD: Hallo Welt;08.05.2025;6;XL;Member 1, Member 2;
Task 226;Long Text;11.02.2025;3;XS;Member 1, Member 2, Member 3;Very easy
Task 227;New Issue;22.04.2025;2;S;Member 1, Member 4;Comment 1
Task 228;UserStory;07.04.2025;8;L;Member 3, Member 2;Comment 1, Comment 2
Task 229;Something TODO;06.04.2025;8;L;Member 1, Member 2;Comment1, Comment 3
Task 230;DOD: Hallo Welt;10.05.2025;9;XS;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 231;Long Text;16.02.2025;10;XS;Member 2;Very important
Task 232;New Issue;17.04.2025;10;M;Member 5;
Task 233;UserStory;09.03.2025;4;XL;Member 1, Member 2;Very easy
Task 234;;08.05.2025;5;XL;Member 1, Member 2, Member 3;Comment 1
Task 235;Something TODO;18.04.2025;7;L;Member 1, Member 4;Comment 1, Comment 2
Task 236;DOD: Hallo Welt;06.03.2025;9;XS;Member 3, Member 2;Comment1, Comment 3
Task 237;Long Text;01.05.2025;7;S;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 238;New Issue;15.02.2025;10;M;Member 1;Very important
Task 239;UserStory;19.04.2025;6;L;Member 2;
Task 240;Something TODO;07.04.2025;11;XL;Member 5;Very easy
Task 241;DOD: Hallo Welt;23.02.2025;11;XS;Member 1, Member 2;Comment 1
Task 242;Long Text;01.02.2025;7;S;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 243;New Issue;13.02.2025;9;L;Member 1, Member 4;Comment1, Comment 3
Task 244;UserStory;03.04.2025;3;L;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 245;Something TODO;08.03.2025;10;XS;Member 1, Member 2;Very important
Task 246;DOD: Hallo Welt;22.04.2025;5;XS;Member 1;
Task 247;Long Text;15.02.2025;4;M;Member 2;Very easy
Task 248;New Issue;24.03.2025;5;XL;Member 5;Comment 1
Task 249;UserStory;24.04.2025;8;XL;Member 1, Member 2;Comment 1, Comment 2
Task 250;Something TODO;05.03.2025;6;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 251;DOD: Hallo Welt;31.01.2025;6;XS;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 252;Long Text;25.04.2025;3;S;Member 3, Member 2;Very important
Task 253;New Issue;18.03.2025;8;M;Member 1, Member 2;
Task 254;UserStory;08.04.2025;9;L;Member 1;Very easy
Task 255;Something TODO;05.04.2025;4;XL;Member 2;Comment 1
Task 256;DOD: Hallo Welt;14.03.2025;9;XS;Member 5;Comment 1, Comment 2
Task 257;Long Text;24.04.2025;2;S;Member 1, Member 2;Comment1, Comment 3
Task 258;New Issue;13.03.2025;4;L;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 259;UserStory;19.03.2025;6;L;Member 1, Member 4;Very important
Task 260;;12.03.2025;6;XS;Member 3, Member 2;
Task 261;Something TODO;09.03.2025;10;XS;Member 1, Member 2;Very easy
Task 262;DOD: Hallo Welt;25.03.2025;9;M;Member 1;Comment 1
Task 263;Long Text;13.04.2025;5;XL;Member 2;Comment 1, Comment 2
Task 264;New Issue;20.02.2025;3;XL;Member 5;Comment1, Comment 3
Task 265;UserStory;09.05.2025;5;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 266;Something TODO;01.04.2025;11;XS;Member 1, Member 2, Member 3;Very important
Task 267;DOD: Hallo Welt;01.04.2025;11;S;Member 1, Member 4;
Task 268;Long Text;14.03.2025;5;M;Member 3, Member 2;Very easy
Task 269;New Issue;03.05.2025;6;L;Member 1, Member 2;Comment 1
Task 270;UserStory;06.04.2025;11;XL;Member 1;Comment 1, Comment 2
Task 271;Something TODO;29.04.2025;6;XS;Member 2;Comment1, Comment 3
Task 272;DOD: Hallo Welt;15.02.2025;11;S;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 273;Long Text;17.02.2025;9;L;Member 1, Member 2;Very important
Task 274;New Issue;07.03.2025;2;L;Member 1, Member 2, Member 3;
Task 275;UserStory;14.03.2025;9;XS;Member 1, Member 4;Very easy
Task 276;Something TODO;10.05.2025;8;XS;Member 3, Member 2;Comment 1
Task 277;DOD: Hallo Welt;31.01.2025;4;M;Member 1, Member 2;Comment 1, Comment 2
Task 278;Long Text;14.02.2025;8;XL;Member 1;Comment1, Comment 3
Task 279;New Issue;02.05.2025;9;XL;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 280;UserStory;06.02.2025;6;L;Member 5;Very important
Task 281;Something TODO;12.03.2025;8;XS;Member 1, Member 2;
Task 282;DOD: Hallo Welt;27.02.2025;5;S;Member 1, Member 2, Member 3;Very easy
Task 283;Long Text;22.04.2025;4;M;Member 1, Member 4;Comment 1
Task 284;New Issue;10.02.2025;3;L;Member 3, Member 2;Comment 1, Comment 2
Task 285;UserStory;12.04.2025;11;XL;Member 1, Member 2;Comment1, Comment 3
Task 286;;28.03.2025;4;XS;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 287;Something TODO;17.02.2025;5;S;Member 2;Very important
Task 288;DOD: Hallo Welt;20.04.2025;3;L;Member 5;
Task 289;Long Text;23.02.2025;3;L;Member 1, Member 2;Very easy
Task 290;New Issue;17.03.2025;4;XS;Member 1, Member 2, Member 3;Comment 1
Task 291;UserStory;27.02.2025;3;XS;Member 1, Member 4;Comment 1, Comment 2
Task 292;Something TODO;01.02.2025;8;M;Member 3, Member 2;Comment1, Comment 3
Task 293;DOD: Hallo Welt;22.02.2025;10;XL;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 294;Long Text;06.02.2025;4;XL;Member 1;Very important
Task 295;New Issue;19.03.2025;5;L;Member 2;
Task 296;UserStory;15.02.2025;2;XS;Member 5;Very easy
Task 297;Something TODO;10.04.2025;3;S;Member 1, Member 2;Comment 1
Task 298;DOD: Hallo Welt;07.02.2025;7;M;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 299;Long Text;14.03.2025;6;L;Member 1, Member 4;Comment1, Comment 3
Task 300;New Issue;03.04.2025;5;XL;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 301;UserStory;01.04.2025;8;XS;Member 1, Member 2;Very important
Task 302;Something TODO;11.04.2025;8;S;Member 1;
Task 303;DOD: Hallo Welt;27.03.2025;8;L;Member 2;Very easy
Task 304;Long Text;13.04.2025;8;L;Member 5;Comment 1
Task 305;New Issue;03.05.2025;11;XS;Member 1, Member 2;Comment 1, Comment 2
Task 306;UserStory;15.04.2025;9;XS;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 307;Something TODO;19.02.2025;7;M;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 308;DOD: Hallo Welt;11.03.2025;7;XL;Member 3, Member 2;Very important
Task 309;Long Text;31.03.2025;6;XL;Member 1, Member 2;
Task 310;New Issue;26.04.2025;2;L;Member 1;Very easy
Task 311;UserStory;19.04.2025;9;XS;Member 2;Comment 1
Task 312;;04.02.2025;5;S;Member 5;Comment 1, Comment 2
Task 313;Something TODO;05.03.2025;11;M;Member 1, Member 2;Comment1, Comment 3
Task 314;DOD: Hallo Welt;15.04.2025;2;L;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 315;Long Text;21.03.2025;8;XL;Member 1, Member 4;Very important
Task 316;New Issue;07.03.2025;2;XS;Member 3, Member 2;
Task 317;UserStory;04.04.2025;7;S;Member 1, Member 2;Very easy
Task 318;Something TODO;01.05.2025;7;L;Member 1;Comment 1
Task 319;DOD: Hallo Welt;02.02.2025;7;L;Member 2;Comment 1, Comment 2
Task 320;Long Text;24.03.2025;4;XS;Member 5;Comment1, Comment 3
Task 321;New Issue;12.02.2025;10;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 322;UserStory;14.03.2025;10;M;Member 1, Member 2, Member 3;Very important
Task 323;Something TODO;06.03.2025;9;XL;Member 1, Member 4;
Task 324;DOD: Hallo Welt;26.04.2025;6;XL;Member 3, Member 2;Very easy
Task 325;Long Text;12.03.2025;5;L;Member 1, Member 2;Comment 1
Task 326;New Issue;28.04.2025;10;XS;Member 1;Comment 1, Comment 2
Task 327;UserStory;24.02.2025;6;S;Member 2;Comment1, Comment 3
Task 328;Something TODO;22.03.2025;4;M;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 329;DOD: Hallo Welt;03.05.2025;6;L;Member 1, Member 2;Very important
Task 330;Long Text;15.02.2025;5;XL;Member 1, Member 2, Member 3;
Task 331;New Issue;25.04.2025;9;XS;Member 1, Member 4;Very easy
Task 332;UserStory;21.03.2025;4;S;Member 3, Member 2;Comment 1
Task 333;Something TODO;03.05.2025;6;L;Member 1, Member 2;Comment 1, Comment 2
Task 334;DOD: Hallo Welt;19.04.2025;5;L;Member 1;Comment1, Comment 3
Task 335;Long Text;26.02.2025;11;XS;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 336;New Issue;27.02.2025;8;XS;Member 5;Very important
Task 337;UserStory;25.03.2025;9;M;Member 1, Member 2;
Task 338;;13.02.2025;10;XL;Member 1, Member 2, Member 3;Very easy
Task 339;Something TODO;21.04.2025;5;XL;Member 1, Member 4;Comment 1
Task 340;DOD: Hallo Welt;28.02.2025;3;L;Member 3, Member 2;Comment 1, Comment 2
Task 341;Long Text;07.04.2025;9;XS;Member 1, Member 2;Comment1, Comment 3
Task 342;New Issue;02.05.2025;6;S;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 343;UserStory;17.03.2025;9;M;Member 2;Very important
